ASUBIMA_1-AI	ASUBIMA
ASUBIMA_10-R	ASUBIMA
64_AD	64
BAMARO_W	BAMARO
BANGRIPATI1_L	BANGRIPATI1
BRASIL_test1	BRASIL
CATIE_278-S	CATIE
DUNKWA_X	DUNKWA
FLORESTECA_AG	FLORESTECA
GOASO_T	GOASO
HONDURAS_Y	HONDURAS
JIMIRA_H	JIMIRA
KIHUWI_P68-AA	KIHUWI
KIHUWI_I	KIHUWI
KIROCA_A	KIROCA
KVTC_J	KVTC
LATENE_U	LATENE
LONGUZA_K	LONGUZA
LUASONG_AF	LUASONG
MIRO_1-Z	MIRO
MIRO_2-AH	MIRO
MIRO_3-E	MIRO
MTIBWA_P61-O	MTIBWA
MTIBWA_D	MTIBWA
NIGERIA_P67-AE	NIGERIA
NILAMBUR_11B	NILAMBUR
NORTHINDIA_AC	NORTHINDIA
OUME_N	OUME
PAMPAWIE_C	PAMPAWIE
PERLIS_P	PERLIS
SANGOUE_F	SANGOUE
T1_AJ	T1
T4_AK	T4
TALIWAS_V	TALIWAS
TEMANDSAN1_G	TEMANDSAN1
TOPSLIP_M	TOPSLIP
WORAWORA_Q	WORAWORA
